comuna,ica,fecha,id
comuna 15,90,2024-01-30,35295
comuna 11,88,2024-06-23,25763
comuna 14,45,2024-06-23,16060
comuna 10,61,2024-07-31,15502
comuna 3,63,2024-06-23,45337
comuna 16,18,2024-07-31,20014
comuna 8,74,2024-06-25,12244
comuna 15,57,2024-06-25,27338
comuna 4,30,2024-06-23,9885
comuna 14,77,2024-01-30,13526
comuna 6,88,2024-07-31,42910
comuna 4,56,2024-01-30,4380
comuna 4,22,2024-06-25,11715
comuna 8,69,2024-07-31,3998
comuna 15,48,2024-06-25,45498
comuna 9,35,2024-01-30,14435
comuna 13,65,2024-06-23,20326
comuna 2,25,2024-01-30,40197
comuna 9,69,2024-06-23,40619
comuna 8,63,2024-07-31,27373
comuna 7,78,2024-06-25,28022
comuna 6,43,2024-01-30,37656
comuna 16,49,2024-06-23,42462
comuna 11,64,2024-01-30,4851
comuna 13,85,2024-07-31,1724
comuna 2,33,2024-06-23,29680
comuna 10,60,2024-01-30,22396
comuna 8,60,2024-01-30,43338
comuna 11,100,2024-06-25,31653
comuna 16,45,2024-06-23,26903
comuna 11,29,2024-01-30,42819
comuna 3,70,2024-01-30,33496
comuna 10,89,2024-01-30,41477
comuna 5,98,2024-07-31,21880
comuna 12,14,2024-07-31,2607
comuna 9,22,2024-07-31,38816
comuna 13,71,2024-06-23,49494
comuna 13,58,2024-07-31,37745
comuna 14,30,2024-07-31,45376
comuna 2,87,2024-07-31,32427
comuna 11,21,2024-01-30,11605
comuna 3,66,2024-07-31,49183
comuna 14,31,2024-07-31,22528
comuna 15,17,2024-06-23,2252
comuna 9,71,2024-07-31,43912
comuna 16,51,2024-06-23,40983
comuna 9,85,2024-07-31,28979
comuna 10,58,2024-06-23,17513
comuna 4,16,2024-07-31,13005
comuna 4,58,2024-07-31,21889
comuna 3,20,2024-01-30,44868
comuna 13,70,2024-06-23,20746
comuna 16,97,2024-01-30,44140
comuna 15,76,2024-06-25,29617
comuna 15,30,2024-01-30,47461
comuna 5,12,2024-07-31,27008
comuna 6,40,2024-06-25,48478
comuna 12,33,2024-06-23,13674
comuna 14,94,2024-01-30,1378
comuna 3,77,2024-01-30,18229
comuna 13,32,2024-06-23,13502
comuna 13,26,2024-06-25,25333
comuna 12,94,2024-01-30,109
comuna 3,54,2024-07-31,27704
comuna 3,12,2024-06-23,48858
comuna 9,54,2024-01-30,41521
comuna 5,53,2024-01-30,21260
comuna 5,76,2024-07-31,37834
comuna 3,20,2024-06-23,4769
comuna 10,91,2024-07-31,42637
comuna 10,23,2024-07-31,1411
comuna 11,17,2024-01-30,10439
comuna 8,68,2024-06-23,28495
comuna 10,53,2024-06-25,13146
comuna 7,77,2024-06-25,9236
comuna 2,80,2024-06-23,9666
comuna 8,49,2024-01-30,26127
comuna 2,76,2024-06-25,16665
comuna 6,92,2024-01-30,12265
comuna 8,96,2024-06-23,9617
comuna 1,49,2024-07-31,9598
comuna 1,96,2024-06-23,44461
comuna 6,10,2024-06-23,39619
comuna 3,22,2024-06-25,42262
comuna 11,43,2024-07-31,2236
comuna 11,40,2024-06-25,44986
comuna 6,69,2024-07-31,1258
comuna 15,12,2024-01-30,40262
comuna 7,82,2024-07-31,32567
comuna 12,92,2024-06-25,21465
comuna 11,68,2024-01-30,38816
comuna 15,75,2024-06-23,34870
comuna 3,67,2024-06-23,32916
comuna 16,11,2024-07-31,22493
comuna 5,17,2024-06-23,545
comuna 16,43,2024-06-25,47267
comuna 13,64,2024-07-31,5501
comuna 5,14,2024-01-30,4516
comuna 1,20,2024-06-23,31554
comuna 14,90,2024-01-30,1859
comuna 5,88,2024-01-30,10079
comuna 5,53,2024-06-25,23484
comuna 11,66,2024-07-31,48617
comuna 1,96,2024-07-31,30186
comuna 1,78,2024-06-23,5072
comuna 7,80,2024-07-31,6301
comuna 2,44,2024-06-23,26377
comuna 14,23,2024-06-23,7024
comuna 6,72,2024-07-31,40748
comuna 12,45,2024-01-30,830
comuna 15,71,2024-06-25,35999
comuna 6,43,2024-06-25,40196
comuna 16,42,2024-01-30,3553
comuna 14,63,2024-01-30,5798
comuna 15,21,2024-06-23,4241
comuna 9,35,2024-07-31,6860
comuna 16,64,2024-01-30,34315
comuna 13,53,2024-01-30,28454
comuna 4,32,2024-06-23,48720
comuna 7,58,2024-06-23,46284
comuna 8,22,2024-06-23,32211
comuna 3,32,2024-06-23,45915
comuna 3,13,2024-06-25,8667
comuna 7,92,2024-07-31,29645
comuna 9,77,2024-06-25,33429
comuna 5,60,2024-06-23,14253
comuna 2,91,2024-07-31,28091
comuna 10,82,2024-01-30,11767
comuna 2,11,2024-06-23,22177
comuna 7,70,2024-06-25,6804
comuna 16,76,2024-01-30,33942
comuna 15,46,2024-01-30,29952
comuna 14,90,2024-07-31,42931
comuna 7,21,2024-01-30,7124
comuna 12,53,2024-07-31,9447
comuna 11,19,2024-07-31,14255
comuna 15,73,2024-06-23,482
comuna 6,28,2024-07-31,6130
comuna 1,44,2024-07-31,6930
comuna 3,82,2024-06-23,5586
comuna 7,86,2024-07-31,25764
comuna 14,62,2024-06-23,28566
comuna 13,50,2024-06-23,62
comuna 7,82,2024-06-23,5193
comuna 15,11,2024-01-30,32273
comuna 15,18,2024-06-23,33883
comuna 13,60,2024-01-30,21219
comuna 12,88,2024-01-30,25675
comuna 13,83,2024-06-23,13585
comuna 9,73,2024-06-23,5905
comuna 7,95,2024-06-25,44044
comuna 12,90,2024-06-25,9497
comuna 8,73,2024-06-23,5850
comuna 5,46,2024-06-25,1968
comuna 1,40,2024-07-31,14884
comuna 11,16,2024-06-25,40488
comuna 15,94,2024-01-30,19917
comuna 7,82,2024-01-30,32342
comuna 16,58,2024-01-30,19610
comuna 15,93,2024-06-23,36478
comuna 5,58,2024-06-25,12399
comuna 10,98,2024-07-31,36111
comuna 16,49,2024-01-30,34946
comuna 3,88,2024-06-25,18532
comuna 14,75,2024-06-25,42790
comuna 2,17,2024-01-30,24841
comuna 4,52,2024-06-23,1164
comuna 3,51,2024-01-30,14043
comuna 13,28,2024-06-23,39277
comuna 14,11,2024-07-31,15210
comuna 10,61,2024-01-30,25149
comuna 4,52,2024-06-25,19478
comuna 2,56,2024-01-30,13107
comuna 13,95,2024-06-25,22555
comuna 8,85,2024-07-31,42924
comuna 16,84,2024-06-25,42672
comuna 2,85,2024-06-23,49101
comuna 3,98,2024-01-30,11525
comuna 14,60,2024-06-23,35297
comuna 14,10,2024-06-23,33025
comuna 3,24,2024-07-31,17340
comuna 14,33,2024-06-23,49503
comuna 7,47,2024-06-23,45906
comuna 15,52,2024-07-31,26679
comuna 1,20,2024-06-25,21829
comuna 15,100,2024-06-23,44459
comuna 4,59,2024-07-31,16050
comuna 6,84,2024-07-31,22316
comuna 7,83,2024-01-30,19082
comuna 12,70,2024-06-25,5691
comuna 11,81,2024-06-25,21697
comuna 8,83,2024-07-31,24862
comuna 10,21,2024-01-30,27554
comuna 5,66,2024-01-30,25620
comuna 4,81,2024-06-23,26744
comuna 7,42,2024-01-30,5591
comuna 6,29,2024-07-31,17163
comuna 4,27,2024-07-31,45436
comuna 5,94,2024-07-31,35334
comuna 9,15,2024-06-23,42627
comuna 4,39,2024-06-23,29198
comuna 9,25,2024-06-23,38611
comuna 8,49,2024-06-25,48680
comuna 1,90,2024-06-25,28598
comuna 14,23,2024-07-31,15589
comuna 13,74,2024-06-25,32677
comuna 1,45,2024-06-23,11799
comuna 12,15,2024-01-30,41714
comuna 7,12,2024-01-30,15930
comuna 11,39,2024-01-30,20944
comuna 14,18,2024-06-23,28057
comuna 10,43,2024-06-25,29702
comuna 16,12,2024-06-25,17598
comuna 8,35,2024-01-30,5707
comuna 13,12,2024-07-31,35080
comuna 14,60,2024-06-25,35759
comuna 16,99,2024-06-25,15587
comuna 12,52,2024-06-23,32554
comuna 4,82,2024-06-25,2339
comuna 15,89,2024-06-23,23608
comuna 4,14,2024-01-30,38873
comuna 13,20,2024-06-25,16359
comuna 7,10,2024-06-25,48447
comuna 16,69,2024-06-25,26334
comuna 9,17,2024-07-31,41837
comuna 8,89,2024-06-23,32653
comuna 6,17,2024-07-31,29670
comuna 14,93,2024-06-25,18981
comuna 9,33,2024-01-30,28243
comuna 9,89,2024-06-23,43453
comuna 1,13,2024-07-31,21138
comuna 2,68,2024-06-25,10611
comuna 10,57,2024-06-23,29373
comuna 6,62,2024-07-31,9101
comuna 9,95,2024-01-30,49927
comuna 11,22,2024-06-23,31603
comuna 11,96,2024-01-30,15409
comuna 14,53,2024-07-31,48141
comuna 9,10,2024-07-31,42135
comuna 4,77,2024-01-30,15720
comuna 3,67,2024-07-31,9968
comuna 15,96,2024-06-25,19868
comuna 1,11,2024-07-31,47892
comuna 3,15,2024-07-31,30147
comuna 7,10,2024-07-31,22976
comuna 3,46,2024-06-25,49787
comuna 6,16,2024-06-25,4469
comuna 11,67,2024-07-31,27712
comuna 6,94,2024-07-31,26902
comuna 12,56,2024-01-30,9983
comuna 16,88,2024-06-23,31383
comuna 4,100,2024-06-23,219
comuna 8,76,2024-06-25,42716
comuna 5,85,2024-06-23,49108
comuna 15,80,2024-06-25,3702
comuna 6,83,2024-01-30,1430
comuna 3,90,2024-01-30,30802
comuna 12,14,2024-06-23,44843
comuna 12,81,2024-01-30,40431
comuna 5,15,2024-06-23,14466
comuna 15,50,2024-07-31,26078
comuna 15,28,2024-06-25,34179
comuna 5,56,2024-06-25,39752
comuna 14,55,2024-01-30,12323
comuna 11,35,2024-06-23,48844
comuna 10,77,2024-01-30,44533
comuna 15,61,2024-06-23,49612
comuna 13,13,2024-01-30,25010
comuna 2,17,2024-07-31,8066
comuna 3,76,2024-06-25,35426
comuna 13,45,2024-06-23,40922
comuna 15,57,2024-06-23,5717
comuna 13,10,2024-06-23,30449
comuna 10,77,2024-06-23,44784
comuna 8,26,2024-07-31,42005
comuna 2,46,2024-01-30,46778
comuna 1,39,2024-06-23,46082
comuna 11,86,2024-01-30,3207
comuna 2,27,2024-06-25,5085
comuna 4,41,2024-07-31,3625
comuna 2,34,2024-07-31,35369
comuna 8,62,2024-06-25,18318
comuna 2,78,2024-07-31,29672
comuna 8,47,2024-06-23,14130
comuna 14,18,2024-06-25,4272
comuna 5,36,2024-06-25,14745
comuna 15,28,2024-06-23,2041
comuna 6,49,2024-01-30,36610
comuna 6,70,2024-06-23,4591
comuna 2,63,2024-06-25,2499
comuna 4,32,2024-01-30,27823
comuna 9,69,2024-01-30,33764
comuna 13,63,2024-01-30,40388
comuna 7,27,2024-06-23,4443
comuna 10,20,2024-06-25,1403
comuna 6,90,2024-01-30,29320
comuna 12,12,2024-07-31,1917
comuna 16,70,2024-07-31,9905
comuna 12,62,2024-07-31,41124
comuna 8,33,2024-07-31,26815
comuna 5,16,2024-01-30,35306
comuna 9,72,2024-01-30,6379
comuna 10,58,2024-06-25,5706
comuna 3,88,2024-01-30,37489
comuna 6,54,2024-06-23,27386
comuna 8,55,2024-06-23,15269
comuna 5,26,2024-06-25,2009
comuna 8,87,2024-07-31,16012
comuna 6,40,2024-07-31,48999
comuna 14,38,2024-06-25,25790
comuna 12,64,2024-06-23,2850
comuna 14,54,2024-01-30,26079
comuna 13,42,2024-07-31,33304
comuna 5,65,2024-01-30,32917
comuna 10,25,2024-01-30,36352
comuna 2,45,2024-06-23,7169
comuna 1,27,2024-07-31,48068
comuna 10,24,2024-06-25,17842
comuna 1,45,2024-07-31,2599
comuna 9,83,2024-07-31,8835
comuna 6,50,2024-01-30,37427
comuna 2,12,2024-01-30,14535
comuna 10,50,2024-06-23,40662
comuna 13,63,2024-01-30,39233
comuna 6,68,2024-07-31,2370
comuna 13,49,2024-07-31,34557
comuna 7,44,2024-01-30,2996
comuna 6,61,2024-07-31,3076
comuna 9,28,2024-06-25,21585
comuna 10,88,2024-06-23,5487
comuna 1,47,2024-06-23,4629
comuna 10,59,2024-06-25,38484
comuna 11,38,2024-07-31,1139
comuna 5,65,2024-07-31,15614
comuna 13,96,2024-07-31,32623
comuna 12,95,2024-06-25,3630
comuna 15,76,2024-06-25,11577
comuna 14,15,2024-06-25,37902
comuna 5,10,2024-06-23,563
comuna 2,54,2024-06-25,36397
comuna 11,61,2024-06-23,41915
comuna 11,91,2024-06-23,29669
comuna 13,75,2024-06-23,35799
comuna 10,66,2024-06-23,1471
comuna 6,19,2024-06-23,5480
comuna 3,34,2024-07-31,20794
comuna 4,11,2024-07-31,44185
comuna 10,30,2024-06-25,23896
comuna 13,80,2024-07-31,44023
comuna 2,60,2024-06-23,30706
comuna 5,31,2024-01-30,32417
comuna 6,30,2024-01-30,8310
comuna 3,39,2024-06-25,24590
comuna 11,89,2024-06-23,43624
comuna 5,100,2024-06-23,21132
comuna 11,17,2024-07-31,2790
comuna 14,47,2024-01-30,1274
comuna 8,27,2024-01-30,37335
comuna 5,82,2024-07-31,44157
comuna 8,22,2024-06-25,15660
comuna 9,67,2024-07-31,23436
comuna 6,50,2024-01-30,6845
comuna 10,65,2024-01-30,21742
comuna 16,47,2024-07-31,22434
comuna 16,96,2024-07-31,47886
comuna 3,23,2024-06-25,16406
comuna 9,94,2024-07-31,31197
comuna 13,74,2024-01-30,23139
comuna 9,97,2024-01-30,26237
comuna 11,35,2024-01-30,43605
comuna 9,39,2024-06-23,36992
comuna 1,17,2024-01-30,16650
comuna 5,93,2024-06-23,4395
comuna 10,27,2024-06-23,32827
comuna 11,80,2024-06-23,37634
comuna 13,43,2024-07-31,49300
comuna 11,72,2024-07-31,2211
comuna 10,66,2024-07-31,29415
comuna 7,91,2024-01-30,45790
comuna 14,32,2024-06-23,26758
comuna 7,99,2024-01-30,49878
comuna 15,88,2024-06-25,25879
comuna 6,87,2024-07-31,24043
comuna 12,23,2024-07-31,18876
comuna 2,34,2024-06-23,17779
comuna 2,43,2024-07-31,24409
comuna 2,49,2024-06-23,27749
comuna 13,25,2024-06-25,25864
comuna 15,82,2024-01-30,17854
comuna 7,12,2024-06-23,20197
comuna 10,43,2024-06-25,21243
comuna 12,92,2024-07-31,21241
comuna 5,60,2024-06-25,7055
comuna 8,89,2024-06-25,22859
comuna 12,73,2024-06-25,25637
comuna 16,73,2024-06-25,3847
comuna 10,41,2024-06-25,18351
comuna 1,75,2024-06-25,9876
comuna 11,65,2024-06-23,20012
comuna 14,81,2024-07-31,19778
comuna 4,43,2024-01-30,16755
comuna 6,40,2024-06-23,20024
comuna 12,32,2024-07-31,15744
comuna 14,43,2024-01-30,43991
comuna 11,91,2024-06-23,48641
comuna 16,93,2024-01-30,29380
comuna 1,83,2024-06-25,30447
comuna 13,29,2024-06-23,7347
comuna 7,60,2024-06-23,26312
comuna 5,67,2024-01-30,2634
comuna 11,38,2024-06-23,6888
comuna 8,97,2024-01-30,47530
comuna 14,95,2024-06-25,20510
comuna 11,44,2024-06-25,32065
comuna 13,46,2024-06-25,44117
comuna 1,71,2024-07-31,45994
comuna 3,41,2024-01-30,36860
comuna 5,11,2024-07-31,18497
comuna 8,33,2024-01-30,863
comuna 7,27,2024-06-25,33513
comuna 12,53,2024-06-25,34793
comuna 10,58,2024-07-31,12845
comuna 7,10,2024-07-31,21335
comuna 12,11,2024-07-31,8787
comuna 9,35,2024-06-23,30794
comuna 8,65,2024-01-30,36761
comuna 8,34,2024-06-25,3306
comuna 14,77,2024-01-30,32253
comuna 9,15,2024-06-23,40338
comuna 1,43,2024-01-30,29122
comuna 1,87,2024-06-25,39302
comuna 12,54,2024-06-23,37747
comuna 16,68,2024-07-31,3696
comuna 16,56,2024-07-31,6943
comuna 14,13,2024-07-31,28172
comuna 11,85,2024-06-25,39565
comuna 14,100,2024-07-31,39727
comuna 3,88,2024-06-23,6771
comuna 14,61,2024-06-25,4922
comuna 3,61,2024-07-31,48182
comuna 7,84,2024-06-23,20347
comuna 5,62,2024-06-25,28949
comuna 8,59,2024-06-25,46235
comuna 7,56,2024-01-30,2204
comuna 4,85,2024-07-31,24847
comuna 3,30,2024-06-25,29552
comuna 3,29,2024-06-25,44809
comuna 7,69,2024-06-25,45276
comuna 14,16,2024-07-31,13386
comuna 9,16,2024-07-31,10127
comuna 3,99,2024-07-31,48245
comuna 2,82,2024-06-25,30360
comuna 4,77,2024-06-25,2318
comuna 4,41,2024-07-31,17262
comuna 1,99,2024-07-31,36103
comuna 14,25,2024-01-30,7257
comuna 15,44,2024-01-30,40745
comuna 11,100,2024-01-30,18714
comuna 13,54,2024-01-30,719
comuna 16,52,2024-06-23,29464
comuna 8,82,2024-06-23,35050
comuna 11,77,2024-01-30,30369
comuna 6,21,2024-06-25,38770
comuna 15,59,2024-01-30,35495
comuna 6,91,2024-06-25,41055
comuna 12,56,2024-06-25,18151
comuna 3,37,2024-07-31,48105
comuna 15,72,2024-07-31,13067
comuna 12,41,2024-06-23,27429
comuna 11,78,2024-07-31,37245
comuna 6,22,2024-06-25,8878
comuna 10,59,2024-06-23,43134
comuna 11,83,2024-07-31,35359
comuna 7,44,2024-07-31,36499
comuna 5,82,2024-07-31,36319
comuna 13,67,2024-06-25,37737
comuna 11,16,2024-01-30,317
comuna 1,10,2024-06-25,21702
comuna 12,81,2024-07-31,749
comuna 13,75,2024-06-25,21471
comuna 14,47,2024-06-25,11498
comuna 14,56,2024-01-30,40481
comuna 7,79,2024-06-25,1117
comuna 2,70,2024-07-31,43163
comuna 10,59,2024-01-30,42430
comuna 6,62,2024-01-30,12289
comuna 6,22,2024-06-23,31933
comuna 15,68,2024-06-23,29555
comuna 10,14,2024-06-23,4347
comuna 15,21,2024-06-23,28717
comuna 6,82,2024-01-30,8259
comuna 2,40,2024-01-30,31500
comuna 9,17,2024-06-23,44001
comuna 10,41,2024-06-25,22007
comuna 15,60,2024-06-23,46623
comuna 11,39,2024-07-31,42445
comuna 15,51,2024-06-23,28394
comuna 9,43,2024-06-25,12071
comuna 7,12,2024-06-23,16581
comuna 15,36,2024-06-23,20755
comuna 8,91,2024-07-31,7581
comuna 4,28,2024-01-30,22285
comuna 6,56,2024-06-23,37656
comuna 10,18,2024-06-23,5576
comuna 13,59,2024-07-31,48801
comuna 16,73,2024-06-23,8525
comuna 7,68,2024-06-23,46103
comuna 4,50,2024-06-25,20234
comuna 8,23,2024-07-31,41408
comuna 9,82,2024-07-31,14722
comuna 16,22,2024-07-31,25312
comuna 8,13,2024-06-23,36255
comuna 16,85,2024-06-23,19110
comuna 4,100,2024-07-31,35007
comuna 15,74,2024-06-25,10170
comuna 10,71,2024-06-25,46405
comuna 12,14,2024-06-25,5072
comuna 5,45,2024-06-25,2615
comuna 13,77,2024-01-30,34065
comuna 12,17,2024-07-31,29192
comuna 6,77,2024-01-30,2458
comuna 7,90,2024-01-30,47074
comuna 9,27,2024-06-23,16032
comuna 9,79,2024-06-23,26134
comuna 8,15,2024-06-25,37581
comuna 5,88,2024-06-25,48696
comuna 6,22,2024-07-31,11829
comuna 9,16,2024-01-30,35220
comuna 11,65,2024-06-23,14958
comuna 14,82,2024-06-25,23948
comuna 10,99,2024-07-31,14079
comuna 9,38,2024-07-31,17104
comuna 8,39,2024-01-30,41404
comuna 1,88,2024-01-30,26452
comuna 3,23,2024-06-23,43482
comuna 4,38,2024-06-25,39537
comuna 12,29,2024-07-31,36204
comuna 11,43,2024-06-25,43123
comuna 1,78,2024-06-23,24306
comuna 9,43,2024-06-23,47431
comuna 11,32,2024-01-30,37896
comuna 9,27,2024-07-31,32380
comuna 9,96,2024-07-31,22823
comuna 7,75,2024-06-25,23020
comuna 3,62,2024-01-30,5565
comuna 13,81,2024-07-31,28358
comuna 5,33,2024-06-25,28837
comuna 1,35,2024-07-31,33616
comuna 14,38,2024-06-23,49893
comuna 13,81,2024-01-30,45678
comuna 1,77,2024-06-23,34980
comuna 16,48,2024-07-31,36490
comuna 3,52,2024-06-23,24354
comuna 12,86,2024-07-31,23245
comuna 10,39,2024-06-23,28473
comuna 10,25,2024-06-23,6087
comuna 3,43,2024-06-25,13670
comuna 2,99,2024-06-23,17257
comuna 11,78,2024-06-25,22644
comuna 11,35,2024-01-30,32711
comuna 5,53,2024-01-30,26516
comuna 8,100,2024-06-25,49996
comuna 10,97,2024-06-23,5066
comuna 5,81,2024-06-25,34057
comuna 9,47,2024-01-30,6893
comuna 12,24,2024-06-23,42593
comuna 14,24,2024-07-31,27684
comuna 15,49,2024-06-25,25511
comuna 15,57,2024-06-23,36649
comuna 8,48,2024-07-31,33175
comuna 4,84,2024-07-31,36858
comuna 4,12,2024-06-23,25196
comuna 3,50,2024-06-25,28687
comuna 15,63,2024-01-30,35917
comuna 8,35,2024-01-30,22909
comuna 12,58,2024-06-25,29653
comuna 8,95,2024-06-25,28589
comuna 5,50,2024-07-31,37801
comuna 16,53,2024-06-23,29309
comuna 15,76,2024-06-25,35780
comuna 11,27,2024-01-30,3954
comuna 16,52,2024-07-31,29103
comuna 8,20,2024-07-31,21170
comuna 3,27,2024-07-31,828
comuna 15,74,2024-06-25,49182
comuna 6,98,2024-07-31,33955
comuna 5,74,2024-06-23,22530
comuna 7,21,2024-01-30,34814
comuna 10,51,2024-06-25,1998
comuna 10,40,2024-01-30,31425
comuna 11,56,2024-06-25,34975
comuna 14,44,2024-06-23,41112
comuna 8,37,2024-06-25,42504
comuna 16,24,2024-06-25,12023
comuna 6,55,2024-07-31,5834
comuna 12,10,2024-07-31,27177
comuna 14,99,2024-01-30,21940
comuna 5,45,2024-01-30,35510
comuna 8,64,2024-01-30,6641
comuna 14,40,2024-07-31,37604
comuna 10,35,2024-01-30,16769
comuna 2,18,2024-06-25,4606
comuna 2,43,2024-06-25,43940
comuna 5,42,2024-06-25,28321
comuna 11,57,2024-07-31,27295
comuna 2,56,2024-06-23,7544
comuna 15,95,2024-06-23,37350
comuna 14,16,2024-01-30,8800
comuna 16,39,2024-01-30,46076
comuna 6,58,2024-06-23,37162
comuna 7,26,2024-01-30,44239
comuna 1,30,2024-06-25,24666
comuna 1,42,2024-01-30,993
comuna 11,82,2024-01-30,34540
comuna 5,25,2024-06-25,5876
comuna 15,42,2024-07-31,1980
comuna 12,92,2024-06-25,26135
comuna 12,23,2024-07-31,5670
comuna 16,67,2024-07-31,16273
comuna 2,78,2024-06-23,31838
comuna 11,57,2024-07-31,45362
comuna 14,75,2024-01-30,5132
comuna 7,17,2024-06-25,38987
comuna 12,54,2024-06-25,49762
comuna 5,74,2024-06-23,40585
comuna 3,15,2024-06-23,20668
comuna 4,92,2024-06-25,42766
comuna 7,50,2024-07-31,39643
comuna 7,21,2024-06-23,42711
comuna 11,98,2024-06-25,21266
comuna 2,53,2024-07-31,33842
comuna 10,47,2024-07-31,36928
comuna 8,45,2024-01-30,7676
comuna 10,83,2024-01-30,34251
comuna 13,65,2024-07-31,1981
comuna 9,87,2024-07-31,2623
comuna 11,97,2024-06-25,24564
comuna 10,100,2024-07-31,49289
comuna 1,21,2024-06-25,26259
comuna 9,13,2024-01-30,29426
comuna 9,59,2024-07-31,42523
comuna 16,87,2024-07-31,16895
comuna 5,47,2024-01-30,246
comuna 9,89,2024-06-25,27544
comuna 15,84,2024-07-31,2984
comuna 11,10,2024-01-30,39701
comuna 13,95,2024-06-23,41025
comuna 12,100,2024-06-23,23254
comuna 6,52,2024-06-25,31577
comuna 9,94,2024-06-23,37929
comuna 11,75,2024-07-31,2245
comuna 8,18,2024-01-30,31732
comuna 16,16,2024-06-23,7516
comuna 11,60,2024-06-23,19619
comuna 11,39,2024-07-31,49550
comuna 3,34,2024-06-23,40859
comuna 5,10,2024-01-30,41922
comuna 2,51,2024-06-25,10740
comuna 2,45,2024-06-23,26776
comuna 5,96,2024-06-23,44642
comuna 11,82,2024-01-30,37578
comuna 13,67,2024-01-30,33234
comuna 5,68,2024-07-31,2787
comuna 3,88,2024-06-25,48953
comuna 2,64,2024-06-25,14571
comuna 8,28,2024-06-23,20755
comuna 11,80,2024-06-23,40636
comuna 12,43,2024-06-23,17935
comuna 9,79,2024-06-23,25773
comuna 1,67,2024-01-30,16366
comuna 11,63,2024-07-31,4777
comuna 9,69,2024-07-31,23847
comuna 9,26,2024-06-25,10010
comuna 1,30,2024-01-30,18718
comuna 9,100,2024-07-31,25154
comuna 16,38,2024-06-25,23713
comuna 4,75,2024-06-25,2279
comuna 11,83,2024-06-23,29989
comuna 8,34,2024-01-30,12816
comuna 9,67,2024-06-23,18219
comuna 14,72,2024-01-30,39866
comuna 6,65,2024-06-23,23086
comuna 4,47,2024-07-31,12220
comuna 12,59,2024-07-31,28089
comuna 7,37,2024-01-30,30065
comuna 1,45,2024-07-31,38335
comuna 2,17,2024-01-30,31569
comuna 15,39,2024-07-31,15708
